DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Total"
"120035 MARECHAL THAUMATURGO";5;8;17;14;14;12;14;6;6;2;3;6;3;2;-;2;4;-;-;1;1;1;-;2;1;1;2;-;-;-;-;-;-;127
"120038 PLACIDO DE CASTRO";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120039 PORTO WALTER";2;2;2;6;2;4;6;5;3;3;4;5;3;1;3;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;54
"120040 RIO BRANCO";43;69;88;112;86;98;111;123;85;66;98;82;53;20;7;7;1;5;5;2;4;11;12;6;2;-;-;-;-;-;-;1;-;1197
"120042 RODRIGUES ALVES";19;23;11;7;8;1;4;2;2;1;2;3;3;-;2;-;1;-;-;-;-;1;1;1;2;1;-;-;-;1;-;-;-;96
"120045 SENADOR GUIOMARD";-;1;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120050 SENA MADUREIRA";-;-;-;-;-;1;-;-;1;2;2;-;-;1;4;-;-;-;1;-;-;2;2;1;-;-;-;-;-;-;-;-;-;17
"120060 TARAUACA";25;35;38;48;31;23;17;7;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;229
"120070 XAPURI";-;-;-;-;-;-;2;1;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;8
"120080 PORTO ACRE";-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130002 ALVARAES";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130014 APUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130020 ATALAIA DO NORTE";-;-;-;-;1;3;15;14;21;47;79;43;65;74;47;27;26;17;12;13;11;-;9;4;11;10;3;1;7;1;-;-;-;561
"130030 AUTAZES";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130040 BARCELOS";-;1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;1;3;-;1;-;1;2;5;-;-;-;-;-;-;-;17
"130060 BENJAMIN CONSTANT";8;2;9;15;7;12;31;30;12;21;15;1;6;3;1;1;2;3;5;4;-;3;-;-;-;-;-;-;-;-;-;-;-;191
"130063 BERURI";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
