state,year,week,T2M,T2M_MAX,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
MT,2016,39,31.702380952380953,39.021904761904764,42.602380952380955,1.3733333333333333,22.74238095238095
MT,2016,40,27.41142857142857,34.40857142857143,55.27238095238095,31.563333333333336,21.57904761904762
MT,2016,41,29.272380952380953,36.23238095238095,60.01761904761905,21.46666666666667,19.672857142857143
MT,2016,42,29.764761904761905,35.92714285714286,62.37285714285714,46.04333333333333,19.449523809523807
MT,2016,43,26.674285714285713,33.01238095238095,62.61095238095238,28.293333333333333,23.102857142857143
MT,2016,44,27.931904761904764,33.81619047619047,66.38380952380952,23.8,18.334761904761905
MT,2016,45,27.46952380952381,32.354285714285716,72.65761904761905,68.72333333333334,17.59095238095238
MT,2016,46,26.846666666666668,32.004285714285714,73.0852380952381,31.176666666666666,21.452857142857145
MT,2016,47,26.21761904761905,30.423809523809524,80.93333333333332,47.93333333333334,17.64142857142857
MT,2016,48,27.07904761904762,31.59047619047619,74.79333333333332,22.476666666666667,20.17238095238095
MT,2016,49,27.16761904761905,32.01904761904762,75.88428571428572,33.443333333333335,18.82904761904762
MT,2016,50,26.33857142857143,30.952857142857145,80.30285714285715,49.7,16.651904761904763
MT,2016,51,25.41,29.68285714285714,80.49333333333334,36.14666666666667,17.621904761904762
MT,2016,52,26.850555555555555,31.91444444444444,75.49277777777779,32.00333333333334,20.250555555555554
MT,2016,53,27.165555555555557,31.513333333333332,78.16888888888889,28.096666666666664,17.046666666666667
MT,2017,1,27.27857142857143,32.18380952380952,73.73714285714286,26.803333333333335,24.45285714285714
MT,2017,2,27.046666666666663,32.08238095238095,74.69714285714285,32.86333333333334,21.82904761904762
MT,2017,3,25.301904761904762,29.56952380952381,82.95380952380951,54.29,15.616666666666665
MT,2017,4,25.593333333333334,29.93285714285714,81.10142857142857,51.58333333333333,17.49904761904762
MT,2017,5,25.554285714285715,29.683333333333334,83.08666666666667,45.93333333333334,19.255238095238095
MT,2017,6,26.294761904761906,29.895714285714288,83.70238095238095,57.45333333333333,17.035714285714285
MT,2017,7,25.139999999999997,29.266190476190474,84.04904761904763,59.23,17.33238095238095
MT,2017,8,25.437142857142856,29.691904761904762,81.1847619047619,25.1,21.027619047619048
MT,2017,9,25.968095238095238,30.434761904761903,81.32714285714285,26.386666666666667,19.070476190476192
MT,2017,10,26.912857142857145,31.413809523809526,78.90047619047618,24.883333333333333,21.82
MT,2017,11,25.593809523809522,29.953333333333337,81.65380952380951,50.43333333333334,17.882857142857144
MT,2017,12,26.625238095238096,31.247619047619047,77.92238095238096,16.006666666666668,20.689523809523813
MT,2017,13,26.356190476190477,30.285714285714285,81.08904761904762,27.523333333333333,17.265714285714285
MT,2017,14,26.270952380952384,30.74809523809524,81.80238095238096,10.096666666666668,19.92190476190476
MT,2017,15,26.892380952380954,32.02047619047619,74.03333333333333,14.913333333333334,19.389999999999997
MT,2017,16,25.586190476190474,29.640000000000004,81.05333333333333,33.46,16.52
MT,2017,17,24.467142857142854,30.016190476190477,78.12238095238095,6.263333333333334,17.872857142857143
MT,2017,18,26.103809523809527,32.06619047619048,72.19571428571429,4.14,19.374285714285715
MT,2017,19,26.310000000000002,33.23380952380952,68.31333333333333,1.0466666666666666,18.979523809523812
MT,2017,20,26.053333333333335,30.81714285714286,79.94904761904762,24.42,14.874761904761906
MT,2017,21,26.42809523809524,31.905238095238097,75.56857142857143,5.9799999999999995,14.886666666666668
