DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Total"
"316180 SAO GONCALO DO PARA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"316190 SAO GONCALO DO RIO ABAIXO";-;1;2;-;-;1;-;3;2;1;-;1;1;1;3;3;-;1;-;-;20
"316200 SAO GONCALO DO SAPUCAI";-;-;-;-;-;1;1;-;1;-;-;-;-;1;4;-;-;1;-;-;9
"316210 SAO GOTARDO";1;1;1;1;2;-;-;-;3;1;4;3;2;3;6;11;5;15;8;-;67
"316220 SAO JOAO BATISTA DO GLORIA";7;5;2;6;4;5;5;5;1;4;2;2;-;2;-;-;-;1;1;-;52
"316225 SAO JOAO DA LAGOA";-;1;3;7;6;3;2;2;2;2;1;-;1;1;4;-;-;-;-;-;35
"316240 SAO JOAO DA PONTE";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316245 SAO JOAO DAS MISSOES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"316250 SAO JOAO DEL REI";-;1;2;2;1;-;1;2;3;3;2;2;3;2;3;4;7;5;2;2;47
"316255 SAO JOAO DO MANHUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"316260 SAO JOAO DO ORIENTE";2;6;4;6;3;2;1;4;-;-;3;-;1;2;1;2;-;1;-;-;38
"316270 SAO JOAO DO PARAISO";-;-;-;-;1;1;-;-;-;1;-;1;-;1;-;1;2;1;3;-;12
"316290 SAO JOAO NEPOMUCENO";-;-;-;-;-;-;1;2;1;-;1;1;1;1;-;1;1;-;-;-;10
"316292 SAO JOAQUIM DE BICAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"316294 SAO JOSE DA BARRA";1;2;1;2;6;3;1;1;3;4;1;2;-;-;2;1;-;1;1;-;32
"316320 SAO JOSE DO ALEGRE";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316340 SAO JOSE DO GOIABAL";-;1;-;-;-;-;2;6;2;2;1;2;2;-;8;7;11;15;28;16;103
"316370 SAO LOURENCO";1;-;-;2;2;1;-;1;-;1;-;-;-;-;-;2;-;-;1;-;11
"316380 SAO MIGUEL DO ANTA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"316390 SAO PEDRO DA UNIAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"316400 SAO PEDRO DOS FERROS";-;-;4;1;2;3;4;2;2;1;3;3;4;2;-;1;1;-;-;-;33
"316420 SAO ROMAO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316430 SAO ROQUE DE MINAS";2;4;-;1;2;-;1;1;1;2;4;2;3;3;3;2;-;2;6;-;39
"316440 SAO SEBASTIAO DA BELA VISTA";-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"316450 SAO SEBASTIAO DO MARANHAO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"316460 SAO SEBASTIAO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"316470 SAO SEBASTIAO DO PARAISO";3;2;3;10;7;7;17;35;54;53;79;88;77;47;36;50;27;12;3;-;610
"316480 SAO SEBASTIAO DO RIO PRETO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316490 SAO SEBASTIAO DO RIO VERDE";-;-;-;-;-;-;-;-;2;-;3;1;-;-;-;-;-;-;-;-;6
"316500 SAO TIAGO";-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;5
"316510 SAO TOMAS DE AQUINO";1;1;-;-;-;1;-;1;1;1;3;-;2;4;3;5;3;1;-;-;27
"316520 SAO THOME DAS LETRAS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"316530 SAO VICENTE DE MINAS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;3
"316540 SAPUCAI-MIRIM";-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"316550 SARDOA";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"316556 SEM-PEIXE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316560 SENADOR CORTES";-;-;-;1;7;5;20;11;12;18;12;5;8;6;2;4;2;1;-;-;114
"316570 SENADOR FIRMINO";-;-;-;-;1;1;1;-;-;1;-;-;-;1;-;1;5;6;6;2;25
"316580 SENADOR JOSE BENTO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"316590 SENADOR MODESTINO GONCALVES";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"316600 SENHORA DE OLIVEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"316630 SERICITA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"316650 SERRA AZUL DE MINAS";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"316670 SERRA DOS AIMORES";2;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;6
"316680 SERRA DO SALITRE";2;-;-;-;2;-;2;5;3;1;1;1;-;2;-;4;9;6;6;-;44
"316690 SERRANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"316695 SERRANOPOLIS DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
"316710 SERRO";-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"316720 SETE LAGOAS";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;3
"316740 SILVIANOPOLIS";-;-;-;-;1;-;-;-;-;4;3;10;14;12;12;19;6;4;-;-;85
"316750 SIMAO PEREIRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"316760 SIMONESIA";-;-;-;-;-;-;1;-;1;1;-;1;3;-;-;-;-;-;-;-;7
"316770 SOBRALIA";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"316790 TABULEIRO";3;1;-;1;1;2;-;-;5;2;-;1;-;1;1;3;1;5;2;-;29
"316800 TAIOBEIRAS";6;1;3;2;5;1;4;4;7;5;7;9;13;20;11;6;13;12;12;6;147
"316805 TAPARUBA";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316810 TAPIRA";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"316850 TEIXEIRAS";-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"316860 TEOFILO OTONI";-;1;4;2;-;-;1;1;-;3;1;7;10;5;3;2;8;-;-;1;49
"316870 TIMOTEO";2;9;7;8;4;14;8;6;2;6;9;4;7;6;8;4;3;-;2;1;110
"316880 TIRADENTES";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;3
"316890 TIROS";2;1;-;-;-;-;1;2;4;1;-;1;2;3;-;-;-;-;-;-;17
"316900 TOCANTINS";-;1;1;-;2;1;6;21;29;3;4;1;1;1;2;-;1;2;1;-;77
"316905 TOCOS DO MOJI";-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;-;1;-;-;-;6
"316910 TOLEDO";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"316920 TOMBOS";3;10;13;26;21;25;17;17;5;-;-;-;-;1;-;4;5;4;-;-;151
"316930 TRES CORACOES";1;4;2;-;2;2;1;6;2;7;1;5;5;4;12;6;8;9;4;1;82
"316940 TRES PONTAS";-;2;4;2;5;3;8;11;10;7;9;13;19;15;21;19;15;3;3;-;169
"316950 TUMIRITINGA";-;-;1;1;2;1;-;-;-;-;-;2;-;-;-;-;1;-;-;-;8
"316960 TUPACIGUARA";35;32;16;47;24;32;53;39;44;46;41;18;18;31;16;5;10;-;-;-;507
"316970 TURMALINA";1;1;3;1;-;1;2;1;1;2;1;1;-;2;3;1;4;2;9;13;49
"316990 UBA";4;7;14;23;26;30;44;62;41;73;65;77;114;114;99;74;161;137;70;4;1239
"317000 UBAI";-;4;-;3;-;-;1;2;1;-;1;2;1;2;-;-;-;-;-;-;17
"317010 UBERABA";41;70;98;93;108;135;190;200;310;417;397;255;169;59;15;8;12;4;2;-;2583
"317020 UBERLANDIA";175;322;388;584;556;679;638;659;258;247;378;491;350;362;288;224;161;289;190;17;7256
"317043 UNIAO DE MINAS";1;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"317050 URUCANIA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"317052 URUCUIA";-;-;-;2;4;5;2;-;2;1;-;2;1;-;-;-;-;-;-;-;19
"317060 VARGEM BONITA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"317065 VARGEM GRANDE DO RIO PARDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"317070 VARGINHA";1;2;5;1;3;6;6;4;10;9;5;10;9;6;18;14;31;19;17;-;176
"317075 VARJAO DE MINAS";1;1;4;3;1;2;-;-;-;1;-;1;-;-;-;-;1;-;-;-;15
"317080 VARZEA DA PALMA";11;16;22;31;23;20;37;24;7;15;24;19;14;11;12;9;4;-;-;-;299
"317090 VARZELANDIA";-;1;2;1;-;-;2;4;-;-;-;-;-;-;1;-;-;-;-;-;11
"317100 VAZANTE";1;4;4;4;1;1;3;2;10;6;6;13;9;9;6;5;5;4;5;-;98
"317103 VERDELANDIA";-;-;-;1;2;-;-;-;1;1;-;1;-;2;-;-;-;-;-;-;8
"317107 VEREDINHA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"317110 VERISSIMO";-;1;1;-;-;-;1;3;-;1;3;2;3;1;1;1;-;-;1;-;19
"317120 VESPASIANO";-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;1;-;1;1;1;8
"317130 VICOSA";1;-;8;13;3;7;4;7;4;12;7;11;20;21;27;28;42;33;21;4;273
"317140 VIEIRAS";-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"317160 VIRGEM DA LAPA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"317190 VIRGOLANDIA";-;-;-;-;-;2;6;12;12;19;26;20;38;41;23;8;16;-;-;-;223
"317200 VISCONDE DO RIO BRANCO";-;-;2;1;1;2;3;1;-;4;2;-;1;1;-;-;1;1;1;-;21
"317210 VOLTA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"317220 WENCESLAU BRAZ";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"320020 ALEGRE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320050 APIACA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320110 BOM JESUS DO NORTE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320130 CARIACICA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"320200 DORES DO RIO PRETO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320245 IBATIBA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320265 IRUPI";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"320300 IUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"320313 JOAO NEIVA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320420 PIUMA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"320490 SAO MATEUS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320500 SERRA";-;-;-;-;-;-;-;-;-;2;2;1;1;-;-;-;-;-;-;-;6
"320520 VILA VELHA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"320530 VITORIA";-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;4
"330010 ANGRA DOS REIS";-;1;-;-;-;-;-;1;-;1;-;-;-;3;2;2;2;-;-;-;12
"330020 ARARUAMA";-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;5
"330023 ARMACAO DOS BUZIOS";1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"330025 ARRAIAL DO CABO";-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3
"330040 BARRA MANSA";-;-;1;-;-;-;4;1;1;2;1;6;9;10;18;4;2;8;10;7;84
"330045 BELFORD ROXO";2;-;-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;1;-;-;7
"330050 BOM JARDIM";-;1;-;-;1;-;1;-;1;-;-;3;4;8;20;8;9;7;3;-;66
"330060 BOM JESUS DO ITABAPOANA";2;3;5;20;21;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69
"330070 CABO FRIO";-;-;1;2;-;-;-;1;2;-;-;-;1;-;-;2;1;-;-;-;10
"330080 CACHOEIRAS DE MACACU";17;5;8;22;30;25;14;5;8;4;1;1;1;1;5;-;1;1;-;-;149
"330090 CAMBUCI";-;-;-;-;1;4;16;1;-;-;-;-;-;-;-;-;-;-;-;-;22
"330093 CARAPEBUS";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
"330095 COMENDADOR LEVY GASPARIAN";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;4
"330100 CAMPOS DOS GOYTACAZES";7;13;13;9;18;18;28;7;1;6;1;1;1;1;3;-;1;-;3;-;131
"330110 CANTAGALO";-;-;-;10;4;4;3;-;1;-;-;1;-;-;-;-;-;-;-;-;23
"330115 CARDOSO MOREIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;2;-;-;-;7
"330120 CARMO";4;3;8;6;10;26;61;55;75;78;88;93;71;74;52;35;51;29;11;1;831
"330130 CASIMIRO DE ABREU";2;2;3;5;4;3;5;1;1;2;-;1;1;-;1;1;2;-;-;-;34
"330140 CONCEICAO DE MACABU";-;1;-;-;-;2;-;-;-;3;-;-;-;-;1;-;2;2;-;-;11
"330160 DUAS BARRAS";-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;4
"330170 DUQUE DE CAXIAS";2;1;1;4;1;-;1;2;2;-;4;-;1;-;2;-;2;2;1;-;26
"330180 ENGENHEIRO PAULO DE FRONTIN";-;-;-;-;2;1;1;1;2;-;2;4;2;-;1;-;-;-;-;-;16
"330185 GUAPIMIRIM";-;6;4;9;16;27;30;32;18;23;21;10;9;10;5;7;10;4;1;-;242
"330190 ITABORAI";1;2;9;19;53;61;73;83;60;43;30;26;28;20;19;19;29;15;35;4;629
"330200 ITAGUAI";-;-;-;-;2;-;-;-;3;-;1;-;1;-;1;-;-;-;1;-;9
"330205 ITALVA";-;-;-;2;2;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;7
"330210 ITAOCARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"330225 ITATIAIA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;3
"330227 JAPERI";-;1;1;-;1;-;-;-;-;1;1;-;-;-;-;1;1;-;2;-;9
"330230 LAJE DO MURIAE";-;-;-;1;-;1;4;2;1;-;1;4;2;1;1;2;4;8;-;-;32
"330240 MACAE";14;12;21;24;24;21;36;17;15;28;32;20;19;24;22;26;13;18;11;1;398
"330245 MACUCO";-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"330250 MAGE";1;2;-;3;7;33;36;38;17;18;8;-;6;4;2;-;1;-;1;1;178
"330260 MANGARATIBA";-;-;-;1;-;1;-;-;-;1;-;3;1;-;2;-;4;2;-;1;16
"330270 MARICA";1;3;1;-;-;2;6;14;4;1;3;1;1;9;5;-;-;-;-;-;51
"330280 MENDES";1;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"330285 MESQUITA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330290 MIGUEL PEREIRA";-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;4
"330300 MIRACEMA";-;-;-;-;1;-;5;5;1;2;-;5;1;1;-;-;-;-;1;-;22
"330320 NILOPOLIS";-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"330330 NITEROI";-;-;-;-;-;-;-;1;-;1;-;2;1;-;-;1;-;-;-;-;6
"330340 NOVA FRIBURGO";2;-;1;4;2;2;3;15;15;18;19;13;14;9;3;6;5;12;-;-;143
"330350 NOVA IGUACU";-;2;2;-;-;-;-;2;-;1;1;-;-;-;1;-;-;4;1;-;14
"330360 PARACAMBI";-;-;-;-;-;-;1;-;-;-;1;-;3;5;2;5;18;7;22;24;88
"330370 PARAIBA DO SUL";15;25;15;25;24;16;17;9;7;11;7;5;10;4;1;-;-;-;-;-;191
"330380 PARATY";1;1;6;10;9;3;11;13;11;8;7;5;3;6;2;-;-;-;-;1;97
"330385 PATY DO ALFERES";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330390 PETROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"330400 PIRAI";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330410 PORCIUNCULA";-;-;-;-;-;1;-;5;2;1;-;3;1;-;1;-;-;-;-;-;14
"330411 PORTO REAL";-;-;-;1;-;-;4;2;-;-;-;1;-;-;1;-;-;-;-;-;9
"330412 QUATIS";-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;3
"330414 QUEIMADOS";-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;6
"330415 QUISSAMA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"330420 RESENDE";4;4;4;4;6;9;10;9;7;16;12;5;6;5;5;4;5;4;-;-;119
"330430 RIO BONITO";1;1;2;1;1;1;3;1;1;1;2;-;-;-;-;1;-;-;-;-;16
"330440 RIO CLARO";-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;1;1;-;-;-;7
"330450 RIO DAS FLORES";-;-;-;2;2;1;5;1;4;5;6;19;12;18;17;8;20;26;3;1;150
"330452 RIO DAS OSTRAS";4;2;-;-;4;4;2;1;1;3;4;3;1;3;2;2;1;2;-;-;39
"330455 RIO DE JANEIRO";113;147;128;173;214;248;316;278;181;173;197;214;180;161;147;130;153;172;241;154;3720
"330460 SANTA MARIA MADALENA";-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;-;-;-;-;-;5
"330470 SANTO ANTONIO DE PADUA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"330475 SAO FRANCISCO DE ITABAPOANA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"330480 SAO FIDELIS";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330490 SAO GONCALO";3;3;3;10;3;4;3;-;3;3;2;2;-;4;2;-;2;-;3;1;51
"330500 SAO JOAO DA BARRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330510 SAO JOAO DE MERITI";-;-;-;-;-;-;-;-;1;1;-;-;1;1;1;-;-;-;-;-;5
"330513 SAO JOSE DE UBA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330515 SAO JOSE DO VALE DO RIO PRETO";1;-;2;-;3;1;1;1;-;-;-;2;-;-;-;-;-;-;1;-;12
"330520 SAO PEDRO DA ALDEIA";-;2;3;4;3;3;7;5;2;-;-;-;-;-;-;-;-;1;-;-;30
"330530 SAO SEBASTIAO DO ALTO";-;-;-;-;2;7;28;32;25;11;7;7;7;2;-;-;-;-;-;-;128
"330540 SAPUCAIA";-;-;-;-;-;-;1;2;-;-;-;-;-;1;-;2;-;-;-;-;6
"330550 SAQUAREMA";-;-;-;-;-;1;3;4;2;1;2;1;-;-;-;-;-;-;-;-;14
"330555 SEROPEDICA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"330560 SILVA JARDIM";12;16;4;5;4;4;7;1;5;2;-;-;-;-;-;-;1;-;-;-;61
"330570 SUMIDOURO";-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;4
"330575 TANGUA";-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"330580 TERESOPOLIS";1;-;1;-;-;1;-;1;-;-;1;1;1;3;3;1;1;2;1;-;18
"330590 TRAJANO DE MORAES";-;-;-;-;1;-;-;-;1;-;1;4;5;1;1;-;-;-;-;-;14
"330610 VALENCA";1;3;3;8;16;8;22;39;18;28;20;18;30;39;23;7;15;12;19;-;329
"330615 VARRE-SAI";-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;5
"330620 VASSOURAS";-;-;-;-;-;-;-;1;-;-;-;-;2;5;1;4;1;-;1;-;15
"330630 VOLTA REDONDA";1;1;1;8;-;-;1;-;-;-;-;2;-;-;-;-;1;4;-;-;19
" MUNICIPIO IGNORADO - SP";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350010 ADAMANTINA";7;22;26;42;47;28;45;39;31;56;40;42;48;44;42;44;24;33;12;6;678
"350020 ADOLFO";27;37;27;36;22;24;18;9;7;9;4;5;7;2;2;1;1;2;-;-;240
"350030 AGUAI";1;6;7;18;27;12;22;24;18;51;80;74;93;86;62;46;88;98;71;37;921
"350040 AGUAS DA PRATA";-;-;-;-;1;2;-;3;2;-;3;4;4;1;-;2;1;-;-;-;23
"350050 AGUAS DE LINDOIA";-;-;-;3;2;-;1;2;2;11;8;1;8;7;4;3;-;-;-;-;52
"350055 AGUAS DE SANTA BARBARA";-;1;1;-;6;10;5;6;17;26;30;40;39;42;65;33;21;26;43;17;428
"350060 AGUAS DE SAO PEDRO";15;12;11;17;16;12;14;13;10;13;8;6;8;6;7;6;3;3;-;-;180
"350070 AGUDOS";2;5;7;10;20;19;24;26;35;44;40;42;57;38;61;24;23;35;3;-;515
"350075 ALAMBARI";-;-;-;-;-;-;-;2;1;1;-;-;3;1;-;-;-;-;1;-;9
"350080 ALFREDO MARCONDES";20;19;36;38;22;27;25;26;24;4;18;3;2;5;-;-;2;-;-;-;271
"350090 ALTAIR";3;-;2;2;2;-;-;-;9;2;4;-;2;2;1;-;-;-;1;-;30
"350100 ALTINOPOLIS";-;-;-;2;1;2;2;5;12;17;9;11;15;19;10;17;8;-;1;-;131
"350110 ALTO ALEGRE";-;1;1;4;9;11;12;18;23;34;26;27;43;38;36;28;27;23;21;1;383
"350115 ALUMINIO";-;1;1;-;1;-;1;2;4;2;9;8;2;1;1;-;3;1;-;-;37
"350120 ALVARES FLORENCE";9;8;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;20
"350130 ALVARES MACHADO";2;3;6;7;11;12;11;19;11;34;40;38;31;22;29;18;17;30;4;-;345
"350140 ALVARO DE CARVALHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"350150 ALVINLANDIA";-;-;-;-;1;1;1;1;2;7;4;8;5;2;3;-;1;2;-;-;38
"350160 AMERICANA";54;82;130;219;291;349;467;610;766;901;815;846;682;548;404;327;224;90;10;-;7815
"350170 AMERICO BRASILIENSE";3;6;4;8;23;30;48;69;63;119;146;124;107;66;21;13;19;19;1;1;890
"350180 AMERICO DE CAMPOS";11;6;18;11;15;8;27;11;13;6;2;-;1;-;-;-;-;-;-;-;129
"350190 AMPARO";65;115;216;271;324;274;270;161;319;330;352;333;251;340;243;158;169;16;3;1;4211
"350200 ANALANDIA";1;2;-;1;-;-;-;-;1;1;7;6;6;2;4;3;1;3;1;-;39
"350210 ANDRADINA";13;13;17;31;29;20;18;19;22;35;31;28;30;15;12;12;7;9;11;2;374
"350220 ANGATUBA";-;-;-;-;1;1;-;3;8;20;28;31;26;29;23;12;16;12;7;-;217
"350230 ANHEMBI";2;-;3;2;1;4;3;3;1;7;6;2;6;13;13;14;17;9;8;4;118
"350240 ANHUMAS";-;2;-;-;-;-;-;1;1;4;-;1;-;1;1;-;-;-;-;-;11
"350250 APARECIDA";-;1;6;2;2;6;6;5;3;1;8;2;7;2;10;7;6;11;7;1;93
"350260 APARECIDA D'OESTE";42;26;31;33;17;5;17;25;8;8;5;3;-;1;1;-;-;-;-;1;223
"350270 APIAI";-;-;-;-;-;-;1;-;1;-;1;5;1;3;6;1;1;1;-;-;21
"350275 ARACARIGUAMA";1;-;-;2;3;8;8;4;3;16;5;16;14;7;19;20;39;7;3;1;176
"350280 ARACATUBA";244;237;300;255;257;200;198;74;78;83;78;69;76;48;39;35;36;40;34;14;2395
"350290 ARACOIABA DA SERRA";-;-;-;1;1;2;-;1;-;2;3;-;1;-;-;-;-;-;-;-;11
"350300 ARAMINA";-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"350310 ARANDU";-;-;-;-;-;1;-;1;-;1;1;7;5;4;5;1;1;-;1;-;28
"350315 ARAPEI";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"350320 ARARAQUARA";80;117;161;296;325;346;508;696;782;979;1144;1225;988;1115;943;710;793;723;555;81;12567
"350330 ARARAS";31;43;85;120;121;132;143;156;174;247;258;251;187;187;134;84;116;52;11;-;2532
"350335 ARCO-IRIS";1;-;2;1;2;3;8;5;9;8;2;2;-;-;-;-;-;-;-;-;43
"350340 AREALVA";-;-;-;-;-;-;-;-;1;-;-;1;2;1;2;1;-;-;2;-;10
"350350 AREIAS";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"350360 AREIOPOLIS";-;6;-;6;2;1;5;2;5;5;6;4;4;8;6;7;12;14;32;7;132
"350370 ARIRANHA";-;5;3;5;7;11;11;15;19;19;25;9;13;15;9;6;4;8;-;-;184
"350380 ARTUR NOGUEIRA";3;20;12;14;25;23;44;67;103;98;171;155;152;67;139;52;40;84;30;3;1302
"350390 ARUJA";1;-;-;-;-;-;-;-;-;2;-;-;2;1;1;-;-;-;-;-;7
"350395 ASPASIA";1;3;9;1;1;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;20
"350400 ASSIS";49;74;42;64;72;94;130;160;143;225;260;214;275;388;355;220;239;170;128;57;3359
"350410 ATIBAIA";29;34;27;39;58;66;85;91;94;94;95;104;82;39;21;11;12;11;2;-;994
