DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Total"
"130120 COARI";-;-;-;-;-;-;-;-;-;-;-;1;5;5;8;3;10;-;1;-;33
"130130 CODAJAS";1;-;-;-;2;3;2;3;3;2;-;1;3;1;-;4;4;-;-;-;29
"130140 EIRUNEPE";1;3;4;3;11;12;11;21;13;15;12;14;21;16;13;6;3;4;2;-;185
"130150 ENVIRA";38;40;40;45;32;24;17;8;10;7;3;3;6;2;8;5;6;3;10;2;309
"130160 FONTE BOA";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"130165 GUAJARA";36;25;29;21;23;11;9;3;13;7;5;4;5;6;4;1;5;6;-;-;213
"130170 HUMAITA";-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130180 IPIXUNA";6;14;17;20;19;15;7;13;14;22;20;13;2;-;-;-;-;-;-;-;182
"130185 IRANDUBA";-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;3
"130210 JAPURA";1;2;1;1;2;-;1;7;3;1;3;5;2;1;1;1;2;-;3;-;37
"130220 JURUA";-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;4
"130230 JUTAI";13;13;5;7;13;16;21;22;12;17;27;15;10;24;9;12;5;8;3;-;252
"130240 LABREA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"130255 MANAQUIRI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"130260 MANAUS";12;20;17;19;17;23;29;22;15;19;19;19;12;15;12;9;10;10;6;3;308
"130270 MANICORE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2
"130290 MAUES";-;1;1;15;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;21
"130330 NOVO ARIPUANA";-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;4
"130340 PARINTINS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"130353 PRESIDENTE FIGUEIREDO";-;-;-;1;2;-;-;1;1;2;4;1;11;3;5;4;1;6;-;-;42
"130356 RIO PRETO DA EVA";-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130370 SANTO ANTONIO DO ICA";1;1;-;-;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;1;-;-;-;-;6
"130406 TABATINGA";4;1;2;-;1;3;1;1;1;3;1;-;3;1;4;3;5;1;-;-;35
"130410 TAPAUA";-;1;5;-;1;-;-;1;-;-;-;1;2;2;-;-;-;-;-;-;13
"130420 TEFE";2;-;-;-;-;-;2;-;-;2;-;-;2;-;2;-;1;-;10;3;24
"130423 TONANTINS";1;4;6;3;-;8;-;-;1;-;-;-;-;-;-;-;-;-;-;-;23
"140002 AMAJARI";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"140005 ALTO ALEGRE";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4
"140010 BOA VISTA";1;1;2;-;1;1;1;1;5;-;1;-;-;2;-;3;1;9;5;5;39
"140015 BONFIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3
"140017 CANTA";-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;3
"140020 CARACARAI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;4;7;-;4;-;19
