Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Sudeste	Sao Paulo	2024/36	3.065
Sudeste	Sao Paulo	2024/37	3.022
Sudeste	Sao Paulo	2024/38	2.876
Sudeste	Sao Paulo	2024/39	2.902
Sudeste	Sao Paulo	2024/40	2.862
Sudeste	Sao Paulo	2024/41	2.612
Sudeste	Sao Paulo	2024/42	2.943
Sudeste	Sao Paulo	2024/43	2.882
Sudeste	Sao Paulo	2024/44	3.171
Sudeste	Sao Paulo	2024/45	3.163
Sudeste	Sao Paulo	2024/46	3.608
Sudeste	Sao Paulo	2024/47	4.494
Sudeste	Sao Paulo	2024/48	5.127
Sudeste	Sao Paulo	2024/49	6.526
Sudeste	Sao Paulo	2024/50	8.279
Sudeste	Sao Paulo	2024/51	8.296
Sudeste	Sao Paulo	2024/52	5.403
Sudeste	Sao Paulo	2025/01	18.750
Sudeste	Sao Paulo	2025/02	22.956
Sudeste	Sao Paulo	2025/03	26.571
Sudeste	Sao Paulo	2025/04	31.812
Sudeste	Sao Paulo	2025/05	35.674
Sudeste	Sao Paulo	2025/06	34.887
Sudeste	Sao Paulo	2025/07	40.206
Sudeste	Sao Paulo	2025/08	44.659
Sudeste	Sao Paulo	2025/09	46.750
Sudeste	Sao Paulo	2025/10	52.521
Sudeste	Sao Paulo	2025/11	56.646
Sudeste	Sao Paulo	2025/12	58.026
Sudeste	Sao Paulo	2025/13	52.896
Sudeste	Sao Paulo	2025/14	50.215
Sudeste	Sao Paulo	2025/15	44.678
Sudeste	Sao Paulo	2025/16	36.683
Sudeste	Sao Paulo	2025/17	38.073
Sudeste	Sao Paulo	2025/18	31.220
Sudeste	Sao Paulo	2025/19	27.630
Sudeste	Sao Paulo	2025/20	19.486
Sudeste	Rio De Janeiro	2024/01	4.228
Sudeste	Rio De Janeiro	2024/02	4.798
Sudeste	Rio De Janeiro	2024/03	6.984
Sudeste	Rio De Janeiro	2024/04	8.984
Sudeste	Rio De Janeiro	2024/05	11.846
Sudeste	Rio De Janeiro	2024/06	16.710
Sudeste	Rio De Janeiro	2024/07	22.734
Sudeste	Rio De Janeiro	2024/08	27.102
Sudeste	Rio De Janeiro	2024/09	26.603
Sudeste	Rio De Janeiro	2024/10	24.456
Sudeste	Rio De Janeiro	2024/11	22.524
Sudeste	Rio De Janeiro	2024/12	18.475
Sudeste	Rio De Janeiro	2024/13	12.641
Sudeste	Rio De Janeiro	2024/14	14.846
Sudeste	Rio De Janeiro	2024/15	12.493
Sudeste	Rio De Janeiro	2024/16	10.102
Sudeste	Rio De Janeiro	2024/17	8.124
Sudeste	Rio De Janeiro	2024/18	7.896
Sudeste	Rio De Janeiro	2024/19	7.198
Sudeste	Rio De Janeiro	2024/20	5.813
Sudeste	Rio De Janeiro	2024/21	4.957
Sudeste	Rio De Janeiro	2024/22	2.914
Sudeste	Rio De Janeiro	2024/23	2.590
Sudeste	Rio De Janeiro	2024/24	2.109
Sudeste	Rio De Janeiro	2024/25	1.726
Sudeste	Rio De Janeiro	2024/26	1.414
Sudeste	Rio De Janeiro	2024/27	1.164
Sudeste	Rio De Janeiro	2024/28	848
Sudeste	Rio De Janeiro	2024/29	866
Sudeste	Rio De Janeiro	2024/30	736
Sudeste	Rio De Janeiro	2024/31	663
Sudeste	Rio De Janeiro	2024/32	541
Sudeste	Rio De Janeiro	2024/33	464
Sudeste	Rio De Janeiro	2024/34	498
Sudeste	Rio De Janeiro	2024/35	429
Sudeste	Rio De Janeiro	2024/36	513
Sudeste	Rio De Janeiro	2024/37	583
Sudeste	Rio De Janeiro	2024/38	420
Sudeste	Rio De Janeiro	2024/39	392
